promotion_id,promotion_name,traps_triggered_count,is_promotion_trap,trap_1_sales_up_profit_down,trap_1_evidence,trap_2_customers_up_margin_collapse,trap_2_evidence,trap_3_increases_wastage,trap_3_evidence,trap_4_discount_only_buyers,trap_4_evidence,trap_5_cannibalization,trap_5_evidence
PROMO-012,Late Night Craver 20% Off,5,True,True,"Revenue was $522,270.60, but profit margin contracted by 11.1% below baseline (44.9% vs 56.0%), yielding only $234,234.45 in net profit.",True,"Acquired high transaction volume (2,626 unique customers), but order margin collapsed to 44.9% due to aggressive discount absorption.",True,"Severe inventory spoilage during campaign: $267,331.10 in food loss (34,362 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).,True,"Cannibalization confirmed: Promotional sales captured $65,925.77 (4.6% of category volume), shifting demand away from full-price substitutes in CAT-06."
PROMO-001,New Year Kickoff 20% Off,4,True,True,"Revenue was $516,118.06, but profit margin contracted by 11.0% below baseline (45.0% vs 56.0%), yielding only $232,211.01 in net profit.",True,"Acquired high transaction volume (2,589 unique customers), but order margin collapsed to 45.0% due to aggressive discount absorption.",True,"Severe inventory spoilage during campaign: $129,922.60 in food loss (12,503 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 83.8% of promo patrons never returned after the discount expired (only 16.2% 30-day post-campaign retention).,False,Storewide promotion; affects all categories without single-product substitute cannibalization.
PROMO-009,VIP Platinum Royalty 25% Off,4,True,True,"Revenue was $501,417.49, but profit margin contracted by 14.8% below baseline (41.2% vs 56.0%), yielding only $206,574.55 in net profit.",True,"Acquired high transaction volume (2,661 unique customers), but order margin collapsed to 41.2% due to aggressive discount absorption.",True,"Severe inventory spoilage during campaign: $3,247,970.00 in food loss (310,818 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).,False,Storewide promotion; affects all categories without single-product substitute cannibalization.
PROMO-003,Mega Feast 50% Off (Fine Print: $120 Min),3,True,True,"Revenue was $215,657.98, but profit margin contracted by 44.3% below baseline (11.7% vs 56.0%), yielding only $25,231.18 in net profit.",True,"Acquired high transaction volume (1,629 unique customers), but order margin collapsed to 11.7% due to aggressive discount absorption.",False,Kitchen preparation aligned closely with realized demand; normal wastage.,True,Extreme customer churn: 80.0% of promo patrons never returned after the discount expired (only 19.9% 30-day post-campaign retention).,False,Complementary category impact; cannibalization rate at acceptable 2.2%.
PROMO-010,Black Friday Week Blowout $20 Off,2,True,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,True,"Severe inventory spoilage during campaign: $64,671.35 in food loss (5,995 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 75.7% of promo patrons never returned after the discount expired (only 24.3% 30-day post-campaign retention).,False,Storewide promotion; affects all categories without single-product substitute cannibalization.
PROMO-004,Spring Weekend Flash 15%,2,True,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,True,"Severe inventory spoilage during campaign: $263,683.15 in food loss (25,413 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 79.9% of promo patrons never returned after the discount expired (only 20.1% 30-day post-campaign retention).,False,Storewide promotion; affects all categories without single-product substitute cannibalization.
PROMO-005,Free Dessert Illusion (Min $80 Order),2,True,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,True,"Severe inventory spoilage during campaign: $118,684.30 in food loss (7,472 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 78.0% of promo patrons never returned after the discount expired (only 22.0% 30-day post-campaign retention).,False,Complementary category impact; cannibalization rate at acceptable 2.1%.
PROMO-007,Back-to-School Family Combo $10 Off,2,True,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,True,"Severe inventory spoilage during campaign: $273,071.25 in food loss (26,030 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 81.0% of promo patrons never returned after the discount expired (only 19.1% 30-day post-campaign retention).,False,Storewide promotion; affects all categories without single-product substitute cannibalization.
PROMO-011,Holiday Season Cheers 15%,2,True,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,True,"Severe inventory spoilage during campaign: $273,680.25 in food loss (26,055 units wasted) due to kitchen overproduction and demand miscalculation.",True,Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).,False,Storewide promotion; affects all categories without single-product substitute cannibalization.
PROMO-008,70% Mega Sale (Hidden Exclusions),2,True,True,"Revenue was $140,566.33, but profit margin contracted by 102.4% below baseline (-46.4% vs 56.0%), yielding only $-65,170.42 in net profit.",True,"Acquired high transaction volume (1,877 unique customers), but order margin collapsed to -46.4% due to aggressive discount absorption.",False,Kitchen preparation aligned closely with realized demand; normal wastage.,False,Strong post-campaign customer retention of 26.5%.,False,Complementary category impact; cannibalization rate at acceptable 3.5%.
PROMO-002,Valentine Dinner Date $15 Off,1,False,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,False,Kitchen preparation aligned closely with realized demand; normal wastage.,True,Extreme customer churn: 83.2% of promo patrons never returned after the discount expired (only 16.8% 30-day post-campaign retention).,False,Complementary category impact; cannibalization rate at acceptable 4.9%.
PROMO-006,Summer Happy Hour BOGO Drink,1,False,False,Profit moved in positive alignment with sales volume.,False,Customer influx maintained healthy unit contribution margin.,False,Kitchen preparation aligned closely with realized demand; normal wastage.,True,Extreme customer churn: 82.7% of promo patrons never returned after the discount expired (only 17.3% 30-day post-campaign retention).,False,Complementary category impact; cannibalization rate at acceptable 4.1%.
