rating_id,order_id,customer_id,item_id,location_id,overall_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,anomaly_tag
RAT-000001,ORD-015796,CUST-41151,ITEM-129,LOC-008,4,3,3,4,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-04-08,STANDARD_POSITIVE
RAT-000002,ORD-000861,CUST-34602,ITEM-098,LOC-016,5,4,4,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-10-26,STANDARD_POSITIVE
RAT-000003,ORD-076821,CUST-05729,ITEM-143,LOC-013,5,5,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-01-29,STANDARD_POSITIVE
RAT-000004,ORD-054887,CUST-20806,ITEM-033,LOC-018,4,5,4,5,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-08-19,STANDARD_POSITIVE
RAT-000005,ORD-006266,CUST-26980,ITEM-107,LOC-009,3,3,4,3,Okay experience. Good location but food was slightly under-seasoned.,2025-07-20,STANDARD_NEUTRAL
RAT-000006,ORD-082387,CUST-27954,ITEM-144,LOC-003,3,2,2,4,Standard fare for this price point. Fast turnaround for lunch.,2025-03-12,STANDARD_NEUTRAL
RAT-000007,ORD-037195,CUST-41547,ITEM-136,LOC-017,2,2,1,3,The meal was completely cold and order was missing two items!,2025-05-30,STANDARD_NEGATIVE
RAT-000008,ORD-087499,CUST-37382,ITEM-016,LOC-004,5,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-10-05,STANDARD_POSITIVE
RAT-000009,ORD-044132,CUST-05449,ITEM-144,LOC-009,5,5,5,4,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-09-24,STANDARD_POSITIVE
RAT-000010,ORD-060264,CUST-48031,ITEM-019,LOC-001,5,5,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-05-25,STANDARD_POSITIVE
RAT-000011,ORD-016024,CUST-18511,ITEM-128,LOC-006,1,1,1,1,Dish tasted stale and unseasoned. Expected much better for the price.,2025-07-01,STANDARD_NEGATIVE
RAT-000012,ORD-041091,CUST-08026,ITEM-123,LOC-002,5,4,5,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-08-04,STANDARD_POSITIVE
RAT-000013,ORD-067222,CUST-12364,ITEM-114,LOC-002,5,5,5,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-01-06,STANDARD_POSITIVE
RAT-000014,ORD-064821,CUST-07162,ITEM-041,LOC-015,3,4,3,2,Portions were generous but flavors were fairly standard.,2025-04-28,STANDARD_NEUTRAL
RAT-000015,ORD-000770,CUST-48043,ITEM-062,LOC-013,3,3,3,4,"Food was good, though service was a bit slow during the dinner rush.",2025-11-09,STANDARD_NEUTRAL
RAT-000016,ORD-059736,CUST-02919,ITEM-066,LOC-002,3,3,3,3,Portions were generous but flavors were fairly standard.,2025-03-15,STANDARD_NEUTRAL
RAT-000017,ORD-062956,CUST-28943,ITEM-146,LOC-015,4,5,5,4,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-04-25,STANDARD_POSITIVE
RAT-000018,ORD-064926,CUST-24684,ITEM-116,LOC-017,4,5,3,3,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-04-02,STANDARD_POSITIVE
RAT-000019,ORD-067970,CUST-48589,ITEM-108,LOC-001,4,4,5,3,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-12-27,STANDARD_POSITIVE
RAT-000020,ORD-005312,CUST-24091,ITEM-136,LOC-009,4,4,3,3,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-08-25,STANDARD_POSITIVE
RAT-000021,ORD-083105,CUST-08482,ITEM-014,LOC-015,5,5,4,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-08-21,STANDARD_POSITIVE
RAT-000022,ORD-053708,CUST-08652,ITEM-084,LOC-003,3,3,3,2,Standard fare for this price point. Fast turnaround for lunch.,2025-03-26,STANDARD_NEUTRAL
RAT-000023,ORD-085306,CUST-00950,ITEM-130,LOC-005,4,4,4,4,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-06-11,STANDARD_POSITIVE
RAT-000024,ORD-028694,CUST-22808,ITEM-145,LOC-005,4,3,4,5,Overpriced and bland. The portions have shrunk noticeably.,2025-06-10,ANOMALY_SENTIMENT_MISMATCH_CONTRADICTORY
RAT-000025,ORD-071933,CUST-27146,ITEM-086,LOC-002,4,4,3,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-01-29,STANDARD_POSITIVE
RAT-000026,ORD-093017,CUST-09324,ITEM-022,LOC-015,5,5,4,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-09-16,STANDARD_POSITIVE
RAT-000027,ORD-025659,CUST-20022,ITEM-034,LOC-003,3,3,3,4,Portions were generous but flavors were fairly standard.,2025-02-17,STANDARD_NEUTRAL
RAT-000028,ORD-084479,CUST-28630,ITEM-028,LOC-004,4,4,5,4,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-21,STANDARD_POSITIVE
RAT-000029,ORD-018432,CUST-05177,ITEM-137,LOC-017,4,3,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-10-18,STANDARD_POSITIVE
RAT-000030,ORD-002748,CUST-13638,ITEM-025,LOC-013,1,1,1,1,Dish tasted stale and unseasoned. Expected much better for the price.,2025-03-11,STANDARD_NEGATIVE
RAT-000031,ORD-059151,CUST-08242,ITEM-002,LOC-017,5,5,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-05-16,STANDARD_POSITIVE
