item_id,item_name,category_name,distinct_class_count,classes_observed,profit_driver_locs,volume_driver_locs,hidden_opportunity_locs,low_performer_locs,min_quantity,max_quantity,quantity_spread
ITEM-081,Thai Crunch Peanut Chicken Salad,Farm-Fresh Salads & Grain Bowls,3,"Hidden Opportunity, Low Performer, Profit Driver",8,0,1,11,202,737,535
ITEM-100,Crispy Falafel Mezze Platter,Vegan & Plant-Based Creations,3,"Hidden Opportunity, Low Performer, Profit Driver",11,0,3,6,183,680,497
ITEM-109,Warm Apple Cinnamon Crisp,Handcrafted Desserts & Pastries,3,"Hidden Opportunity, Low Performer, Profit Driver",10,0,1,9,200,697,497
ITEM-021,California Turkey Avocado Club,Artisanal Burgers & Handhelds,3,"Hidden Opportunity, Low Performer, Volume Driver",0,9,1,10,171,647,476
ITEM-085,Blackened Salmon Cobb Salad,Farm-Fresh Salads & Grain Bowls,3,"Hidden Opportunity, Low Performer, Volume Driver",0,17,1,2,186,634,448
ITEM-034,Prosciutto e Rucola Pizza,Wood-Fired Pizzas & Pastas,3,"Hidden Opportunity, Low Performer, Volume Driver",0,3,3,14,123,568,445
ITEM-101,Thai Coconut Green Curry Tofu,Vegan & Plant-Based Creations,3,"Hidden Opportunity, Low Performer, Profit Driver",2,0,14,4,171,608,437
ITEM-097,Jackfruit Smoky Carnitas Tacos,Vegan & Plant-Based Creations,3,"Hidden Opportunity, Low Performer, Profit Driver",3,0,12,5,187,615,428
ITEM-116,Key Lime Tart Graham Crust,Handcrafted Desserts & Pastries,3,"Hidden Opportunity, Low Performer, Profit Driver",5,0,9,6,149,574,425
ITEM-095,Spicy Tofu Peanut Noodle Bowl,Vegan & Plant-Based Creations,3,"Hidden Opportunity, Low Performer, Profit Driver",3,0,8,9,192,615,423
ITEM-146,Acai Berry Superfood Smoothie,Specialty Coffee & Beverages,3,"Hidden Opportunity, Low Performer, Volume Driver",0,9,1,10,177,594,417
ITEM-050,Slow-Braised Beef Short Ribs,Prime Steaks & Butcher Cuts,3,"Hidden Opportunity, Low Performer, Volume Driver",0,8,1,11,173,573,400
