rating_id,order_id,customer_id,item_id,location_id,overall_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,anomaly_tag,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
RAT-000051,ORD-023898,CUST-22741,ITEM-004,LOC-010,0,1,1,2,"Advertising says free item, but they required spending $80 first. Ridiculous!",2025-09-10,ANOMALY_MISLEADING_PROMO_BACKLASH,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000052,ORD-068149,CUST-25057,ITEM-095,LOC-005,0,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-11-21,CANCELLED_ORDER_COMPLAINT,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000053,ORD-023484,CUST-23403,ITEM-128,LOC-012,0,4,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-12-11,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000054,ORD-048556,CUST-09747,ITEM-114,LOC-005,0,1,1,3,Coupon refused at checkout even though the email said valid all month.,2025-01-06,ANOMALY_MISLEADING_PROMO_BACKLASH,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000055,ORD-017160,CUST-45952,ITEM-064,LOC-001,0,2,3,2,Okay experience. Good location but food was slightly under-seasoned.,2025-05-10,STANDARD_NEUTRAL,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000056,ORD-080078,CUST-44984,ITEM-088,LOC-009,0,4,4,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-06-10,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000057,ORD-035921,CUST-49232,ITEM-130,LOC-017,0,5,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-04-03,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000058,ORD-092068,CUST-39048,ITEM-055,LOC-014,0,4,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-04-13,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000059,ORD-067122,CUST-39410,ITEM-059,LOC-010,0,5,5,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-12-15,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000060,ORD-069480,CUST-29366,ITEM-125,LOC-010,0,3,3,3,Incredible taste and immaculate vibe. Five stars all the way!,2025-04-06,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000061,ORD-089476,CUST-45390,ITEM-031,LOC-002,0,4,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-07-05,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000062,ORD-019458,CUST-43041,ITEM-139,LOC-017,0,2,1,2,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-01-14,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000063,ORD-066558,CUST-25254,ITEM-112,LOC-017,0,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-04-18,CANCELLED_ORDER_COMPLAINT,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000064,ORD-077190,CUST-11148,ITEM-096,LOC-010,0,4,3,3,Okay experience. Good location but food was slightly under-seasoned.,2025-10-25,STANDARD_NEUTRAL,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000065,ORD-078954,CUST-06924,ITEM-002,LOC-004,0,1,1,1,The meal was completely cold and order was missing two items!,2025-07-13,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000066,ORD-052996,CUST-29918,ITEM-004,LOC-010,0,4,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-11-30,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000067,ORD-040758,CUST-48705,ITEM-107,LOC-001,0,3,5,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-04-12,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000068,ORD-009693,CUST-46695,ITEM-028,LOC-019,0,3,3,3,Okay experience. Good location but food was slightly under-seasoned.,2025-06-15,STANDARD_NEUTRAL,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000069,ORD-045759,,ITEM-033,LOC-016,0,5,5,4,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-05-31,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
