category_name,item_count,avg_base_price,avg_elasticity,high_sensitivity_count,moderate_sensitivity_count,low_sensitivity_count
Prime Steaks & Butcher Cuts,15,49.83,0.832,9,3,3
Vegan & Plant-Based Creations,15,16.8,1.374,8,1,6
Wood-Fired Pizzas & Pastas,15,22.2,1.692,10,1,4
Appetizers & Small Plates,15,17.32,1.734,10,4,1
Farm-Fresh Salads & Grain Bowls,15,15.03,1.807,14,1,0
Chef Specials & Seafood,15,34.93,1.816,12,1,2
Artisanal Burgers & Handhelds,15,17.5,1.836,8,5,2
Handcrafted Desserts & Pastries,15,11.7,1.837,12,1,2
Specialty Coffee & Beverages,15,6.2,2.029,13,1,1
Signature Cocktails & Mocktails,15,17.6,2.089,10,4,1
