recommendation_type,primary_item,recommended_item,category_pair,support,confidence,lift,commercial_rationale
Frequently Paired Dishes,Yuzu Lavender Gin Tonic,Hibiscus Berry Botanical Fizz (Mocktail),Signature Cocktails & Mocktails + Signature Cocktails & Mocktails,0.0058,0.0808,1.1293,"High behavioral affinity (Lift = 1.13, ordered together in 527 transactions)."
Frequently Paired Dishes,Creamy Cashew Alfredo Tagliatelle,Classic Madagascar Vanilla Bean Gelato,Vegan & Plant-Based Creations + Handcrafted Desserts & Pastries,0.0063,0.1176,1.1247,"High behavioral affinity (Lift = 1.12, ordered together in 566 transactions)."
Frequently Paired Dishes,Chipotle Fish Tacos (3pcs),Molten Chocolate Lava Cake,Artisanal Burgers & Handhelds + Handcrafted Desserts & Pastries,0.0072,0.1359,1.1197,"High behavioral affinity (Lift = 1.12, ordered together in 647 transactions)."
Frequently Paired Dishes,Truffle Wild Mushroom Risotto,Quattro Formaggi Bianca,Vegan & Plant-Based Creations + Wood-Fired Pizzas & Pastas,0.0052,0.0922,1.109,"High behavioral affinity (Lift = 1.11, ordered together in 468 transactions)."
Frequently Paired Dishes,Cold Pressed Green Detox Juice,New York Style Cheesecake,Specialty Coffee & Beverages + Handcrafted Desserts & Pastries,0.0051,0.1203,1.1061,"High behavioral affinity (Lift = 1.11, ordered together in 458 transactions)."
Frequently Paired Dishes,Sparkling San Pellegrino (750ml),Smoked Rosemary Paloma Tequila,Specialty Coffee & Beverages + Signature Cocktails & Mocktails,0.0059,0.0838,1.1058,"High behavioral affinity (Lift = 1.11, ordered together in 531 transactions)."
Frequently Paired Dishes,Roasted Beet & Goat Cheese Bowl,Spicy Nashville Hot Chicken Bun,Farm-Fresh Salads & Grain Bowls + Artisanal Burgers & Handhelds,0.0054,0.1033,1.1038,"High behavioral affinity (Lift = 1.10, ordered together in 488 transactions)."
Frequently Paired Dishes,BBQ Glazed St. Louis Ribs (Full),Affogato al Caffe Espresso Scoop,Prime Steaks & Butcher Cuts + Handcrafted Desserts & Pastries,0.0061,0.0948,1.1037,"High behavioral affinity (Lift = 1.10, ordered together in 555 transactions)."
Frequently Paired Dishes,Spicy Tuna Crispy Rice,Classic BLT Sourdough,Appetizers & Small Plates + Artisanal Burgers & Handhelds,0.0053,0.0901,1.1034,"High behavioral affinity (Lift = 1.10, ordered together in 478 transactions)."
Frequently Paired Dishes,Portobello Mushroom Swiss Burger,DineIQ Signature Caesar Salad,Artisanal Burgers & Handhelds + Farm-Fresh Salads & Grain Bowls,0.0059,0.1299,1.102,"High behavioral affinity (Lift = 1.10, ordered together in 535 transactions)."
Frequently Paired Dishes,Thai Crunch Peanut Chicken Salad,Crispy Cauliflower Buffalo Bites,Farm-Fresh Salads & Grain Bowls + Vegan & Plant-Based Creations,0.0059,0.0834,1.1004,"High behavioral affinity (Lift = 1.10, ordered together in 534 transactions)."
Frequently Paired Dishes,Slow-Braised Beef Short Ribs,Crispy Parmesan Truffle Fries,Prime Steaks & Butcher Cuts + Appetizers & Small Plates,0.0085,0.1406,1.1001,"High behavioral affinity (Lift = 1.10, ordered together in 772 transactions)."
Frequently Paired Dishes,Wild Rice & Avocado Harvest Bowl,Southwest Chipotle Chicken Bowl,Farm-Fresh Salads & Grain Bowls + Farm-Fresh Salads & Grain Bowls,0.0053,0.0931,1.0987,"High behavioral affinity (Lift = 1.10, ordered together in 480 transactions)."
Frequently Paired Dishes,Acai Berry Superfood Smoothie,Aperol Spritz Prosecco Orange,Specialty Coffee & Beverages + Signature Cocktails & Mocktails,0.0069,0.1122,1.0976,"High behavioral affinity (Lift = 1.10, ordered together in 627 transactions)."
Frequently Paired Dishes,Kale Tahini Caesar Roasted Chickpeas,Garlic Herb Breadsticks,Farm-Fresh Salads & Grain Bowls + Appetizers & Small Plates,0.007,0.1218,1.0975,"High behavioral affinity (Lift = 1.10, ordered together in 636 transactions)."
Combo Meal,Chipotle Fish Tacos (3pcs),Molten Chocolate Lava Cake,Artisanal Burgers & Handhelds + Handcrafted Desserts & Pastries,0.0072,0.1359,1.1197,Bundle into 'Chipotle Fish Tacos (3pcs) & Molten Chocolate Lava Cake Duo'. Reg: $27.49 -> Combo: $24.19 (Save $3.30).
Combo Meal,Cold Pressed Green Detox Juice,New York Style Cheesecake,Specialty Coffee & Beverages + Handcrafted Desserts & Pastries,0.0051,0.1203,1.1061,Bundle into 'Cold Pressed Green Detox Juice & New York Style Cheesecake Duo'. Reg: $18.49 -> Combo: $16.27 (Save $2.22).
Combo Meal,Portobello Mushroom Swiss Burger,DineIQ Signature Caesar Salad,Artisanal Burgers & Handhelds + Farm-Fresh Salads & Grain Bowls,0.0059,0.1299,1.102,Bundle into 'Portobello Mushroom Swiss Burger & DineIQ Signature Caesar Salad Duo'. Reg: $27.99 -> Combo: $24.63 (Save $3.36).
Combo Meal,Slow-Braised Beef Short Ribs,Crispy Parmesan Truffle Fries,Prime Steaks & Butcher Cuts + Appetizers & Small Plates,0.0085,0.1406,1.1001,Bundle into 'Slow-Braised Beef Short Ribs & Crispy Parmesan Truffle Fries Duo'. Reg: $44.99 -> Combo: $39.59 (Save $5.40).
Combo Meal,Kale Tahini Caesar Roasted Chickpeas,Garlic Herb Breadsticks,Farm-Fresh Salads & Grain Bowls + Appetizers & Small Plates,0.007,0.1218,1.0975,Bundle into 'Kale Tahini Caesar Roasted Chickpeas & Garlic Herb Breadsticks Duo'. Reg: $20.98 -> Combo: $18.46 (Save $2.52).
Combo Meal,Seafood Paella Valenciana,Classic Buffalo Chicken Wings,Chef Specials & Seafood + Appetizers & Small Plates,0.0056,0.132,1.0964,Bundle into 'Seafood Paella Valenciana & Classic Buffalo Chicken Wings Duo'. Reg: $49.50 -> Combo: $43.56 (Save $5.94).
Combo Meal,California Turkey Avocado Club,Margherita Sourdough Pizza,Artisanal Burgers & Handhelds + Wood-Fired Pizzas & Pastas,0.009,0.1467,1.093,Bundle into 'California Turkey Avocado Club & Margherita Sourdough Pizza Duo'. Reg: $31.99 -> Combo: $28.15 (Save $3.84).
Combo Meal,Jumbo Lump Crab Cakes (2pcs),Molten Chocolate Lava Cake,Chef Specials & Seafood + Handcrafted Desserts & Pastries,0.0051,0.1316,1.0841,Bundle into 'Jumbo Lump Crab Cakes (2pcs) & Molten Chocolate Lava Cake Duo'. Reg: $42.99 -> Combo: $37.83 (Save $5.16).
Combo Meal,Warm Roasted Butternut Squash Bowl,DineIQ Smash Double Cheeseburger,Farm-Fresh Salads & Grain Bowls + Artisanal Burgers & Handhelds,0.0052,0.1522,1.0815,Bundle into 'Warm Roasted Butternut Squash Bowl & DineIQ Smash Double Cheeseburger Duo'. Reg: $27.99 -> Combo: $24.63 (Save $3.36).
Combo Meal,Strawberry Gorgonzola Pecan Salad,Double Espresso Single Origin,Farm-Fresh Salads & Grain Bowls + Specialty Coffee & Beverages,0.0078,0.127,1.0815,Bundle into 'Strawberry Gorgonzola Pecan Salad & Double Espresso Single Origin Duo'. Reg: $17.50 -> Combo: $15.40 (Save $2.10).
Combo Meal,Pecan Pie Bourbon Whipped Cream,Nitro Cold Brew Sweet Cream,Handcrafted Desserts & Pastries + Specialty Coffee & Beverages,0.0056,0.121,1.0812,Bundle into 'Pecan Pie Bourbon Whipped Cream & Nitro Cold Brew Sweet Cream Duo'. Reg: $15.99 -> Combo: $14.07 (Save $1.92).
Combo Meal,Burrata Caprese Pizza,Crispy Parmesan Truffle Fries,Wood-Fired Pizzas & Pastas + Appetizers & Small Plates,0.0073,0.1376,1.0762,Bundle into 'Burrata Caprese Pizza & Crispy Parmesan Truffle Fries Duo'. Reg: $29.49 -> Combo: $25.95 (Save $3.54).
Cross-Sell Opportunity,Chipotle Fish Tacos (3pcs),Molten Chocolate Lava Cake,Artisanal Burgers & Handhelds -> Handcrafted Desserts & Pastries,0.0072,0.1359,1.1197,Prompt: 'Add Molten Chocolate Lava Cake for the perfect pairing!' (Confidence: 13.6%).
Cross-Sell Opportunity,Cold Pressed Green Detox Juice,New York Style Cheesecake,Specialty Coffee & Beverages -> Handcrafted Desserts & Pastries,0.0051,0.1203,1.1061,Prompt: 'Add New York Style Cheesecake for the perfect pairing!' (Confidence: 12.0%).
Cross-Sell Opportunity,Portobello Mushroom Swiss Burger,DineIQ Signature Caesar Salad,Artisanal Burgers & Handhelds -> Farm-Fresh Salads & Grain Bowls,0.0059,0.1299,1.102,Prompt: 'Add DineIQ Signature Caesar Salad for the perfect pairing!' (Confidence: 13.0%).
Cross-Sell Opportunity,Slow-Braised Beef Short Ribs,Crispy Parmesan Truffle Fries,Prime Steaks & Butcher Cuts -> Appetizers & Small Plates,0.0085,0.1406,1.1001,Prompt: 'Add Crispy Parmesan Truffle Fries for the perfect pairing!' (Confidence: 14.1%).
Cross-Sell Opportunity,Kale Tahini Caesar Roasted Chickpeas,Garlic Herb Breadsticks,Farm-Fresh Salads & Grain Bowls -> Appetizers & Small Plates,0.007,0.1218,1.0975,Prompt: 'Add Garlic Herb Breadsticks for the perfect pairing!' (Confidence: 12.2%).
Cross-Sell Opportunity,Seafood Paella Valenciana,Classic Buffalo Chicken Wings,Chef Specials & Seafood -> Appetizers & Small Plates,0.0056,0.132,1.0964,Prompt: 'Add Classic Buffalo Chicken Wings for the perfect pairing!' (Confidence: 13.2%).
Cross-Sell Opportunity,California Turkey Avocado Club,Margherita Sourdough Pizza,Artisanal Burgers & Handhelds -> Wood-Fired Pizzas & Pastas,0.009,0.1467,1.093,Prompt: 'Add Margherita Sourdough Pizza for the perfect pairing!' (Confidence: 14.7%).
Cross-Sell Opportunity,Jumbo Lump Crab Cakes (2pcs),Molten Chocolate Lava Cake,Chef Specials & Seafood -> Handcrafted Desserts & Pastries,0.0051,0.1316,1.0841,Prompt: 'Add Molten Chocolate Lava Cake for the perfect pairing!' (Confidence: 13.2%).
Cross-Sell Opportunity,Warm Roasted Butternut Squash Bowl,DineIQ Smash Double Cheeseburger,Farm-Fresh Salads & Grain Bowls -> Artisanal Burgers & Handhelds,0.0052,0.1522,1.0815,Prompt: 'Add DineIQ Smash Double Cheeseburger for the perfect pairing!' (Confidence: 15.2%).
