order_date,restaurant_name,actual_demand,predicted_demand,forecast_error,granularity
2025-12-02,DineIQ Atlanta Midtown,192.0,152.54,39.46,Restaurant Locations
2025-12-02,DineIQ Austin Domain Drive-Thru,39.0,92.75,-53.75,Restaurant Locations
2025-12-02,DineIQ Austin Downtown,206.0,162.77,43.23,Restaurant Locations
2025-12-02,DineIQ Bellevue Tech Plaza,123.0,166.7,-43.7,Restaurant Locations
2025-12-02,DineIQ Boston Back Bay,31.0,150.48,-119.48,Restaurant Locations
2025-12-02,DineIQ Brooklyn Heights,103.0,153.97,-50.97,Restaurant Locations
2025-12-02,DineIQ Chicago Magnificent Mile,169.0,213.91,-44.91,Restaurant Locations
2025-12-02,DineIQ Dallas Arts District,234.0,147.93,86.07,Restaurant Locations
2025-12-02,DineIQ Denver LoDo,141.0,140.8,0.2,Restaurant Locations
2025-12-02,DineIQ Financial Center,181.0,218.1,-37.1,Restaurant Locations
2025-12-02,DineIQ Flagship Downtown,307.0,239.05,67.95,Restaurant Locations
2025-12-02,DineIQ Houston Galleria,139.0,169.7,-30.7,Restaurant Locations
2025-12-02,DineIQ Los Angeles Beverly,231.0,224.52,6.48,Restaurant Locations
2025-12-02,DineIQ Miami South Beach,200.0,199.73,0.27,Restaurant Locations
2025-12-02,DineIQ Orlando Theme Park Outpost,153.0,205.2,-52.2,Restaurant Locations
2025-12-02,DineIQ San Francisco Embarcadero,343.0,221.42,121.58,Restaurant Locations
2025-12-02,DineIQ Santa Monica Promenade,202.0,216.29,-14.29,Restaurant Locations
2025-12-02,DineIQ Seattle Pike Place,126.0,181.52,-55.52,Restaurant Locations
2025-12-02,DineIQ Silicon Valley Hub,140.0,160.06,-20.06,Restaurant Locations
2025-12-02,DineIQ West Loop Bistro,210.0,179.49,30.51,Restaurant Locations
2025-12-03,DineIQ Atlanta Midtown,64.0,152.39,-88.39,Restaurant Locations
2025-12-03,DineIQ Austin Domain Drive-Thru,105.0,84.82,20.18,Restaurant Locations
2025-12-03,DineIQ Austin Downtown,102.0,149.5,-47.5,Restaurant Locations
2025-12-03,DineIQ Bellevue Tech Plaza,162.0,158.83,3.17,Restaurant Locations
2025-12-03,DineIQ Boston Back Bay,221.0,135.35,85.65,Restaurant Locations
2025-12-03,DineIQ Brooklyn Heights,165.0,142.31,22.69,Restaurant Locations
2025-12-03,DineIQ Chicago Magnificent Mile,156.0,214.03,-58.03,Restaurant Locations
2025-12-03,DineIQ Dallas Arts District,213.0,168.24,44.76,Restaurant Locations
2025-12-03,DineIQ Denver LoDo,98.0,143.88,-45.88,Restaurant Locations
2025-12-03,DineIQ Financial Center,268.0,191.62,76.38,Restaurant Locations
2025-12-03,DineIQ Flagship Downtown,249.0,236.81,12.19,Restaurant Locations
2025-12-03,DineIQ Houston Galleria,125.0,163.46,-38.46,Restaurant Locations
2025-12-03,DineIQ Los Angeles Beverly,242.0,238.66,3.34,Restaurant Locations
2025-12-03,DineIQ Miami South Beach,210.0,220.69,-10.69,Restaurant Locations
2025-12-03,DineIQ Orlando Theme Park Outpost,278.0,215.33,62.67,Restaurant Locations
