item_id,item_name,category_id,category_name,price,cost_price,demand,order_frequency,revenue,contribution_margin,profit_margin_pct,discount,promo_share_pct,rating,rating_trend,repeat_purchase,avg_empirical_elasticity,max_demand_drop,significant_events_count,price_sensitivity_tier,pricing_recommendation
ITEM-052,Steak Frites Garlic Herb Butter,CAT-04,Prime Steaks & Butcher Cuts,29.99,18.5,13931,9137,417790.69,160067.19,38.31,7.06,100.0,3.62,-0.037,0.0875,0.814,11.53,1,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-046,USDA Prime Center-Cut Filet Mignon (8oz),CAT-04,Prime Steaks & Butcher Cuts,48.0,24.5,7328,4944,351744.0,172208.0,48.96,7.05,100.0,3.52,-0.105,0.0522,1.143,5.71,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-032,Double Pepperoni Hot Honey Pizza,CAT-03,Wood-Fired Pizzas & Pastas,18.5,13.8,18644,12038,344914.0,87626.8,25.41,7.27,100.0,3.56,-0.163,0.1122,2.161,7.89,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-063,Wild King Salmon Lemon Herb,CAT-05,Chef Specials & Seafood,34.0,16.2,9196,6204,312664.0,163688.8,52.35,7.42,100.0,3.64,0.035,0.0549,3.453,17.26,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-068,Classic Fish & Chips Tartar,CAT-05,Chef Specials & Seafood,19.99,14.5,15137,9843,302588.63,83102.13,27.46,7.06,100.0,3.63,-0.101,0.0925,1.748,7.89,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-031,Margherita Sourdough Pizza,CAT-03,Wood-Fired Pizzas & Pastas,15.99,12.0,18735,12146,299572.65,74752.65,24.95,7.28,100.0,3.51,-0.025,0.1148,1.565,13.95,2,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-050,Slow-Braised Beef Short Ribs,CAT-04,Prime Steaks & Butcher Cuts,36.0,14.5,8234,5489,296424.0,177031.0,59.72,7.09,100.0,3.56,-0.003,0.0523,1.108,4.51,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),CAT-04,Prime Steaks & Butcher Cuts,52.0,23.0,5491,3780,285532.0,159239.0,55.77,7.32,100.0,3.53,0.189,0.0361,-0.171,-0.85,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-016,DineIQ Smash Double Cheeseburger,CAT-02,Artisanal Burgers & Handhelds,13.99,10.8,19852,12728,277729.48,63327.88,22.8,7.17,100.0,3.68,0.15,0.1155,1.757,11.69,2,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-058,BBQ Glazed St. Louis Ribs (Full),CAT-04,Prime Steaks & Butcher Cuts,31.0,14.0,8732,5853,270692.0,148444.0,54.84,7.33,100.0,3.56,-0.074,0.0606,0.295,1.47,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-048,Dry-Aged Bone-in NY Strip (16oz),CAT-04,Prime Steaks & Butcher Cuts,56.0,26.0,4657,3144,260792.0,139710.0,53.57,7.17,100.0,3.64,-0.02,0.0303,1.07,-0.79,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-055,Steakhouse Flat Iron Chimichurri,CAT-04,Prime Steaks & Butcher Cuts,26.5,13.2,9726,6526,257739.0,129355.8,50.19,7.33,100.0,3.58,0.036,0.0615,2.52,12.65,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-017,Crispy Buttermilk Chicken Sandwich,CAT-02,Artisanal Burgers & Handhelds,14.5,11.0,17296,11181,250792.0,60536.0,24.14,7.47,100.0,3.63,0.009,0.1024,0.43,7.82,1,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-038,Creamy Fettuccine Alfredo,CAT-03,Wood-Fired Pizzas & Pastas,16.99,5.2,14437,9432,245284.63,170212.23,69.39,7.28,100.0,3.52,-0.149,0.0893,0.177,0.89,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
