item_id,category_id,name,description,base_price,cost_price,margin_pct,is_vegetarian,is_gluten_free,is_alcohol,prep_time_minutes,shelf_life_days,is_seasonal,complexity_profile,popularity_weight,wastage_risk_score,elasticity_score,is_active
ITEM-001,CAT-01,Crispy Parmesan Truffle Fries,DineIQ signature crispy parmesan truffle fries crafted with premium ingredients.,8.99,6.75,24.92,True,False,False,8,14,False,POPULAR_LOW_MARGIN,3.5,0.25,0.4,True
ITEM-002,CAT-01,Classic Buffalo Chicken Wings,DineIQ signature classic buffalo chicken wings crafted with premium ingredients.,14.5,11.2,22.76,False,True,False,14,5,False,POPULAR_LOW_MARGIN,3.2,0.35,0.5,True
ITEM-003,CAT-01,Golden Mozzarella Sticks,DineIQ signature golden mozzarella sticks crafted with premium ingredients.,9.5,7.1,25.26,True,False,False,7,30,False,POPULAR_LOW_MARGIN,2.8,0.15,0.35,True
ITEM-004,CAT-01,Garlic Herb Breadsticks,DineIQ signature garlic herb breadsticks crafted with premium ingredients.,6.99,4.8,31.33,True,False,False,6,4,False,POPULAR_LOW_MARGIN,3.0,0.2,0.3,True
ITEM-005,CAT-01,Wild Alaskan Salmon Tartare,DineIQ signature wild alaskan salmon tartare crafted with premium ingredients.,21.0,11.5,45.24,False,True,False,10,2,False,HIGH_WASTAGE,0.7,0.9,0.65,True
ITEM-006,CAT-01,Soft-Shell Crab Sliders,DineIQ signature soft-shell crab sliders crafted with premium ingredients.,19.5,10.2,47.69,False,False,False,12,2,False,HIGH_WASTAGE,0.6,0.85,0.6,True
ITEM-007,CAT-01,Crispy Calamari Fritti,DineIQ signature crispy calamari fritti crafted with premium ingredients.,15.99,7.5,53.1,False,False,False,9,3,False,STANDARD,2.0,0.5,0.5,True
ITEM-008,CAT-01,Reserve Osetra Caviar Blinis,DineIQ signature reserve osetra caviar blinis crafted with premium ingredients.,65.0,16.5,74.62,False,False,False,6,7,False,PROFITABLE_LOW_SELLING,0.15,0.6,0.3,True
ITEM-009,CAT-01,Truffle Whipped Burrata,DineIQ signature truffle whipped burrata crafted with premium ingredients.,17.5,7.8,55.43,True,True,False,6,4,False,STANDARD,1.8,0.55,0.5,True
ITEM-010,CAT-01,Smoked Duck Croquettes,DineIQ signature smoked duck croquettes crafted with premium ingredients.,16.0,7.0,56.25,False,False,False,11,4,False,STANDARD,1.2,0.4,0.45,True
ITEM-011,CAT-01,Spicy Tuna Crispy Rice,DineIQ signature spicy tuna crispy rice crafted with premium ingredients.,18.0,9.8,45.56,False,True,False,10,2,False,HIGH_WASTAGE,1.5,0.88,0.55,True
ITEM-012,CAT-01,Heirloom Tomato Bruschetta,DineIQ signature heirloom tomato bruschetta crafted with premium ingredients.,11.5,4.2,63.48,True,False,False,7,3,False,PRICE_SENSITIVE,2.2,0.45,0.75,True
