promotion_id,promotion_name,applicable_category,duration_days,order_volume,promotional_revenue,contribution_margin_dollars,profit_margin_pct,acquired_customers,repeat_purchase_rate_pct,average_order_value,aov_vs_baseline_pct,wasted_units,wasted_loss_amount,post_promo_retention_rate_pct,post_promo_subsequent_spend,post_spend_per_customer,evaluation_status,status_rationale
PROMO-006,Summer Happy Hour BOGO Drink,CAT-004,92,2797,629211.23,344508.13,54.75,1284,63.94,224.96,-2.69,3041,61582.8,17.28,168916.47,372.88,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-007,Back-to-School Family Combo $10 Off,ALL,30,2718,595727.47,321023.72,53.89,1227,62.1,219.18,-5.19,26030,273071.25,19.05,185250.5,385.14,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-002,Valentine Dinner Date $15 Off,CAT-001,7,2653,582456.56,308483.66,52.96,1230,63.25,219.55,-5.03,707,6664.0,16.8,163474.19,391.09,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-010,Black Friday Week Blowout $20 Off,ALL,7,2730,577155.44,298988.69,51.8,1249,64.53,211.41,-8.55,5995,64671.35,24.34,243094.21,391.46,MODERATE_VOLUME_DRIVER,Acceptable volume and margin; modest customer retention.
PROMO-011,Holiday Season Cheers 15%,ALL,31,2777,544342.49,263222.39,48.36,1257,63.25,196.02,-15.21,26055,273680.25,0.0,0.0,0.0,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-004,Spring Weekend Flash 15%,ALL,30,2718,536102.8,259343.05,48.38,1268,66.56,197.24,-14.68,25413,263683.15,20.13,198503.37,386.19,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-012,Late Night Craver 20% Off,CAT-006,365,2802,522270.6,234234.45,44.85,1246,62.44,186.39,-19.37,34362,267331.1,0.0,0.0,0.0,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-001,New Year Kickoff 20% Off,ALL,15,2774,516118.06,232211.01,44.99,1294,64.68,186.06,-19.52,12503,129922.6,16.22,161715.73,385.04,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-009,VIP Platinum Royalty 25% Off,ALL,365,2859,501417.49,206574.55,41.2,1281,61.9,175.38,-24.13,310818,3247970.0,0.0,0.0,0.0,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-005,Free Dessert Illusion (Min $80 Order),CAT-005,31,1918,433130.05,235802.95,54.44,865,61.39,225.82,-2.31,7472,118684.3,22.02,178799.72,448.12,MODERATE_VOLUME_DRIVER,Acceptable volume and margin; modest customer retention.
PROMO-003,Mega Feast 50% Off (Fine Print: $120 Min),CAT-002,31,1714,215657.98,25231.18,11.7,771,60.83,125.82,-45.57,1981,17845.9,19.95,141099.92,434.15,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
PROMO-008,70% Mega Sale (Hidden Exclusions),CAT-007,31,1998,140566.33,-65170.42,-46.36,873,61.86,70.35,-69.57,1462,8991.3,26.48,220192.12,443.04,FAILED_VALUE_DESTROYING (Promotion Trap),"Violates SRS rule: High sales volume accompanied by margin collapse, severe wastage, or zero repeat retention."
