item_id,item_name,complexity_profile,wastage_id,location_id,wastage_date,quantity_wasted,unit_cost,total_loss_amount,wastage_reason
ITEM-062,Crispy Skin Mediterranean Branzino,HIGH_WASTAGE,WAS-000001,LOC-009,2025-01-09,12,16.0,192.0,EQUIPMENT_COOLER_FAILURE
ITEM-146,Acai Berry Superfood Smoothie,HIGH_WASTAGE,WAS-000002,LOC-004,2025-03-26,5,3.4,17.0,EXPIRED_SHELF_LIFE
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000003,LOC-006,2025-06-12,12,10.2,122.4,OVERCOOKED_OR_BURNT
ITEM-074,Fried Softshell Crab Basket,HIGH_WASTAGE,WAS-000004,LOC-002,2025-05-06,2,12.0,24.0,PREPARATION_ERROR
ITEM-025,Philly Ribeye Cheesesteak,STANDARD,WAS-000005,LOC-001,2025-02-22,5,9.2,46.0,EXPIRED_SHELF_LIFE
ITEM-025,Philly Ribeye Cheesesteak,STANDARD,WAS-000006,LOC-017,2025-07-08,12,9.2,110.4,EXPIRED_SHELF_LIFE
ITEM-007,Crispy Calamari Fritti,STANDARD,WAS-000007,LOC-004,2025-08-08,3,7.5,22.5,OVERCOOKED_OR_BURNT
ITEM-117,Artisanal Macaron Assortment (6pcs),STANDARD,WAS-000008,LOC-005,2025-12-30,4,4.2,16.8,OVERCOOKED_OR_BURNT
ITEM-074,Fried Softshell Crab Basket,HIGH_WASTAGE,WAS-000009,LOC-018,2025-05-27,5,12.0,60.0,EXPIRED_SHELF_LIFE
ITEM-085,Blackened Salmon Cobb Salad,STANDARD,WAS-000010,LOC-013,2025-02-14,4,9.8,39.2,OVERPRODUCTION_UNSOLD
ITEM-005,Wild Alaskan Salmon Tartare,HIGH_WASTAGE,WAS-000011,LOC-020,2025-12-12,11,11.5,126.5,OVERPRODUCTION_UNSOLD
ITEM-146,Acai Berry Superfood Smoothie,HIGH_WASTAGE,WAS-000012,LOC-011,2025-01-10,9,3.4,30.6,CUSTOMER_SEND_BACK
ITEM-110,Fresh Wild Berry Pavlova,HIGH_WASTAGE,WAS-000013,LOC-020,2025-07-07,3,5.8,17.4,OVERPRODUCTION_UNSOLD
ITEM-034,Prosciutto e Rucola Pizza,HIGH_WASTAGE,WAS-000014,LOC-001,2025-06-28,11,9.8,107.8,EXPIRED_SHELF_LIFE
ITEM-027,Chipotle Fish Tacos (3pcs),HIGH_WASTAGE,WAS-000015,LOC-012,2025-12-14,2,8.7,17.4,PREPARATION_ERROR
ITEM-028,Cubano Roast Pork Sandwich,STANDARD,WAS-000016,LOC-013,2025-08-10,1,7.2,7.2,OVERPRODUCTION_UNSOLD
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000017,LOC-004,2025-03-09,8,12.0,96.0,EXPIRED_SHELF_LIFE
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000018,LOC-012,2025-07-01,4,14.8,59.2,OVERPRODUCTION_UNSOLD
ITEM-065,Jumbo Lump Crab Cakes (2pcs),HIGH_WASTAGE,WAS-000019,LOC-006,2025-03-09,12,15.0,180.0,EQUIPMENT_COOLER_FAILURE
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000020,LOC-013,2025-04-17,11,12.0,132.0,PREPARATION_ERROR
ITEM-075,Seafood Bouillabaisse Saffron Rouille,HIGH_WASTAGE,WAS-000021,LOC-014,2025-09-07,4,16.5,66.0,PREPARATION_ERROR
ITEM-021,California Turkey Avocado Club,HIGH_WASTAGE,WAS-000022,LOC-012,2025-11-21,12,8.9,106.8,EXPIRED_SHELF_LIFE
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000023,LOC-020,2025-02-16,2,12.0,24.0,EXPIRED_SHELF_LIFE
ITEM-061,Pan-Seared Chilean Sea Bass,PROFITABLE_LOW_SELLING,WAS-000024,LOC-002,2025-03-09,3,18.5,55.5,OVERPRODUCTION_UNSOLD
ITEM-066,Seared Diver Scallops Sweet Corn,HIGH_WASTAGE,WAS-000025,LOC-012,2025-09-10,5,16.8,84.0,EXPIRED_SHELF_LIFE
ITEM-098,Avocado Supergreen Toast Sourdough,HIGH_WASTAGE,WAS-000026,LOC-006,2025-12-05,8,6.8,54.4,OVERPRODUCTION_UNSOLD
ITEM-033,Quattro Formaggi Bianca,STANDARD,WAS-000027,LOC-004,2025-06-05,4,7.5,30.0,EXPIRED_SHELF_LIFE
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000028,LOC-001,2025-12-09,11,14.8,162.8,EXPIRED_SHELF_LIFE
ITEM-074,Fried Softshell Crab Basket,HIGH_WASTAGE,WAS-000029,LOC-008,2025-09-05,7,12.0,84.0,EXPIRED_SHELF_LIFE
ITEM-006,Soft-Shell Crab Sliders,HIGH_WASTAGE,WAS-000030,LOC-008,2025-11-18,3,10.2,30.6,EXPIRED_SHELF_LIFE
ITEM-074,Fried Softshell Crab Basket,HIGH_WASTAGE,WAS-000031,LOC-012,2025-08-08,4,12.0,48.0,OVERPRODUCTION_UNSOLD
ITEM-027,Chipotle Fish Tacos (3pcs),HIGH_WASTAGE,WAS-000032,LOC-004,2025-01-11,11,8.7,95.7,OVERPRODUCTION_UNSOLD
ITEM-008,Reserve Osetra Caviar Blinis,PROFITABLE_LOW_SELLING,WAS-000033,LOC-016,2025-04-21,11,16.5,181.5,EXPIRED_SHELF_LIFE
ITEM-145,Sparkling San Pellegrino (750ml),STANDARD,WAS-000034,LOC-014,2025-12-16,10,1.5,15.0,EXPIRED_SHELF_LIFE
ITEM-146,Acai Berry Superfood Smoothie,HIGH_WASTAGE,WAS-000035,LOC-014,2025-03-27,12,3.4,40.8,OVERPRODUCTION_UNSOLD
ITEM-105,Artisanal Vegan Charcuterie Board,PROFITABLE_LOW_SELLING,WAS-000036,LOC-002,2025-05-05,1,8.5,8.5,PREPARATION_ERROR
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000037,LOC-017,2025-10-07,9,12.0,108.0,OVERPRODUCTION_UNSOLD
ITEM-011,Spicy Tuna Crispy Rice,HIGH_WASTAGE,WAS-000038,LOC-008,2025-08-18,10,9.8,98.0,EXPIRED_SHELF_LIFE
ITEM-082,Wild Rice & Avocado Harvest Bowl,HIGH_WASTAGE,WAS-000039,LOC-007,2025-12-22,12,7.5,90.0,OVERPRODUCTION_UNSOLD
