category,target_entity_type,target_entity_id,target_entity_name,recommended_action,reason_bullets,formatted_evidence,potential_business_impact,business_impact_rationale,priority,implementation_effort,recommendation_id
Target selected customer segments,Customer Segment,SEG-HIGH-VALUE-RISK,High-Value VIPs at Churn Risk,Deploy Urgent VIP Concierge Retention Campaign for High-Value At-Risk Patrons,"['Massive financial exposure: 2,242 VIP accounts representing $727,713.58 in historical spend', 'Severe churn velocity: average recency of 271.0 days without dining activity', 'High composite churn score: 0.911 across the 5 SRS risk factors', 'Key behavioral signals: declining visit frequency and collapsed category exploration', 'Actionable intervention: executive chef tasting invitation & dedicated concierge reservation outreach']","Recommended Action:
  Deploy Urgent VIP Concierge Retention Campaign for High-Value At-Risk Patrons

Reason:
  * Massive financial exposure: 2,242 VIP accounts representing $727,713.58 in historical spend
  * Severe churn velocity: average recency of 271.0 days without dining activity
  * High composite churn score: 0.911 across the 5 SRS risk factors
  * Key behavioral signals: declining visit frequency and collapsed category exploration
  * Actionable intervention: executive chef tasting invitation & dedicated concierge reservation outreach",727713.5800000001,"Reclaiming 20% of churning VIP revenue preserves $145,542.72 in annual high-margin patronage.",Critical,Medium,REC-046
Review ineffective promotions,Promotion,PROMO-012,Late Night Craver 20% Off,Review and Immediately Restructure Ineffective Promotion: PROMO-012 ('Late Night Craver 20% Off'),"['Multi-trap promotion failure: triggered 5 of 5 distinct SRS Promotion Traps', 'Trap 1 (Sales Up, Profit Down): Revenue was $522,270.60, but profit margin contracted by 11.1% below baseline (44.9% vs 56.0%), yielding only $234,234.45 in net profit.', 'Trap 2 (Margin Collapse): Acquired high transaction volume (2,626 unique customers), but order margin collapsed to 44.9% due to aggressive discount absorption.', 'Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $267,331.10 in food loss (34,362 units wasted) due to kitchen overproduction and demand miscalculation.', 'Trap 4 (Discount-Only Patrons): Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).', 'Trap 5 (Cannibalization): Cannibalization confirmed: Promotional sales captured $65,925.77 (4.6% of category volume), shifting demand away from full-price substitutes in CAT-06.']","Recommended Action:
  Review and Immediately Restructure Ineffective Promotion: PROMO-012 ('Late Night Craver 20% Off')

Reason:
  * Multi-trap promotion failure: triggered 5 of 5 distinct SRS Promotion Traps
  * Trap 1 (Sales Up, Profit Down): Revenue was $522,270.60, but profit margin contracted by 11.1% below baseline (44.9% vs 56.0%), yielding only $234,234.45 in net profit.
  * Trap 2 (Margin Collapse): Acquired high transaction volume (2,626 unique customers), but order margin collapsed to 44.9% due to aggressive discount absorption.
  * Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $267,331.10 in food loss (34,362 units wasted) due to kitchen overproduction and demand miscalculation.
  * Trap 4 (Discount-Only Patrons): Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).
  * Trap 5 (Cannibalization): Cannibalization confirmed: Promotional sales captured $65,925.77 (4.6% of category volume), shifting demand away from full-price substitutes in CAT-06.",175000.0,"Halting profit margin dilution and excessive waste recovers ~$175,000.00 in net restaurant earnings.",Critical,Low,REC-048
Remove or redesign persistent Low Performers,Menu Item,ITEM-066,Seared Diver Scallops Sweet Corn,Remove or Redesign Persistent Low Performer: ITEM-066 (Seared Diver Scallops Sweet Corn),"['Severe slow-moving status: SMI score of 0.833 (Critical Slow-Moving Tier)', 'Depressed order volume: only 2,830 orders placed across entire network', 'Excessive food wastage: 67.8% wastage rate ($150,074.40 spoiled)', 'Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 36.0% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-066 (Seared Diver Scallops Sweet Corn)

Reason:
  * Severe slow-moving status: SMI score of 0.833 (Critical Slow-Moving Tier)
  * Depressed order volume: only 2,830 orders placed across entire network
  * Excessive food wastage: 67.8% wastage rate ($150,074.40 spoiled)
  * Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 36.0% (Q4 vs Q1)",173019.0,"Eliminating menu deadweight recovers $173,019.00 in waste and misallocated prep labor.",Critical,Medium,REC-042
Remove or redesign persistent Low Performers,Menu Item,ITEM-072,Whole Grilled Red Snapper Mojo,Remove or Redesign Persistent Low Performer: ITEM-072 (Whole Grilled Red Snapper Mojo),"['Severe slow-moving status: SMI score of 0.870 (Critical Slow-Moving Tier)', 'Depressed order volume: only 1,476 orders placed across entire network', 'Excessive food wastage: 80.3% wastage rate ($148,837.50 spoiled)', 'Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 39.6% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-072 (Whole Grilled Red Snapper Mojo)

Reason:
  * Severe slow-moving status: SMI score of 0.870 (Critical Slow-Moving Tier)
  * Depressed order volume: only 1,476 orders placed across entire network
  * Excessive food wastage: 80.3% wastage rate ($148,837.50 spoiled)
  * Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 39.6% (Q4 vs Q1)",162010.8,"Eliminating menu deadweight recovers $162,010.80 in waste and misallocated prep labor.",Critical,Medium,REC-039
Increase stock before predicted peak periods,Peak Period,PEAK-HOUR-12,Dinner Rush Hour 12:00,Increase Raw Ingredient Stock & Prep Buffers for Dinner Peak Window (12:00 - 13:00),"['Primary network peak period: generates $3,064,781.83 (14.6% of daily revenue)', 'High-throughput kitchen strain: 192,013 menu portions demanded within this 60-minute window', 'Stock-out bottleneck risk: top protein and produce ingredients face acute depletion', 'Mitigation protocol: increase pre-service prep buffers by +25% prior to 12:00', 'Customer experience impact: prevents 8-12 minute ticket delays during high-volume rush']","Recommended Action:
  Increase Raw Ingredient Stock & Prep Buffers for Dinner Peak Window (12:00 - 13:00)

Reason:
  * Primary network peak period: generates $3,064,781.83 (14.6% of daily revenue)
  * High-throughput kitchen strain: 192,013 menu portions demanded within this 60-minute window
  * Stock-out bottleneck risk: top protein and produce ingredients face acute depletion
  * Mitigation protocol: increase pre-service prep buffers by +25% prior to 12:00
  * Customer experience impact: prevents 8-12 minute ticket delays during high-volume rush",153239.09,"Protects $153,239.09 in peak-hour sales from kitchen capacity stock-outs.",Critical,Low,REC-044
Review ineffective promotions,Promotion,PROMO-001,New Year Kickoff 20% Off,Review and Immediately Restructure Ineffective Promotion: PROMO-001 ('New Year Kickoff 20% Off'),"['Multi-trap promotion failure: triggered 4 of 5 distinct SRS Promotion Traps', 'Trap 1 (Sales Up, Profit Down): Revenue was $516,118.06, but profit margin contracted by 11.0% below baseline (45.0% vs 56.0%), yielding only $232,211.01 in net profit.', 'Trap 2 (Margin Collapse): Acquired high transaction volume (2,589 unique customers), but order margin collapsed to 45.0% due to aggressive discount absorption.', 'Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $129,922.60 in food loss (12,503 units wasted) due to kitchen overproduction and demand miscalculation.', 'Trap 4 (Discount-Only Patrons): Extreme customer churn: 83.8% of promo patrons never returned after the discount expired (only 16.2% 30-day post-campaign retention).']","Recommended Action:
  Review and Immediately Restructure Ineffective Promotion: PROMO-001 ('New Year Kickoff 20% Off')

Reason:
  * Multi-trap promotion failure: triggered 4 of 5 distinct SRS Promotion Traps
  * Trap 1 (Sales Up, Profit Down): Revenue was $516,118.06, but profit margin contracted by 11.0% below baseline (45.0% vs 56.0%), yielding only $232,211.01 in net profit.
  * Trap 2 (Margin Collapse): Acquired high transaction volume (2,589 unique customers), but order margin collapsed to 45.0% due to aggressive discount absorption.
  * Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $129,922.60 in food loss (12,503 units wasted) due to kitchen overproduction and demand miscalculation.
  * Trap 4 (Discount-Only Patrons): Extreme customer churn: 83.8% of promo patrons never returned after the discount expired (only 16.2% 30-day post-campaign retention).",140000.0,"Halting profit margin dilution and excessive waste recovers ~$140,000.00 in net restaurant earnings.",Critical,Low,REC-049
Review ineffective promotions,Promotion,PROMO-009,VIP Platinum Royalty 25% Off,Review and Immediately Restructure Ineffective Promotion: PROMO-009 ('VIP Platinum Royalty 25% Off'),"['Multi-trap promotion failure: triggered 4 of 5 distinct SRS Promotion Traps', 'Trap 1 (Sales Up, Profit Down): Revenue was $501,417.49, but profit margin contracted by 14.8% below baseline (41.2% vs 56.0%), yielding only $206,574.55 in net profit.', 'Trap 2 (Margin Collapse): Acquired high transaction volume (2,661 unique customers), but order margin collapsed to 41.2% due to aggressive discount absorption.', 'Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $3,247,970.00 in food loss (310,818 units wasted) due to kitchen overproduction and demand miscalculation.', 'Trap 4 (Discount-Only Patrons): Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).']","Recommended Action:
  Review and Immediately Restructure Ineffective Promotion: PROMO-009 ('VIP Platinum Royalty 25% Off')

Reason:
  * Multi-trap promotion failure: triggered 4 of 5 distinct SRS Promotion Traps
  * Trap 1 (Sales Up, Profit Down): Revenue was $501,417.49, but profit margin contracted by 14.8% below baseline (41.2% vs 56.0%), yielding only $206,574.55 in net profit.
  * Trap 2 (Margin Collapse): Acquired high transaction volume (2,661 unique customers), but order margin collapsed to 41.2% due to aggressive discount absorption.
  * Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $3,247,970.00 in food loss (310,818 units wasted) due to kitchen overproduction and demand miscalculation.
  * Trap 4 (Discount-Only Patrons): Extreme customer churn: 100.0% of promo patrons never returned after the discount expired (only 0.0% 30-day post-campaign retention).",140000.0,"Halting profit margin dilution and excessive waste recovers ~$140,000.00 in net restaurant earnings.",Critical,Low,REC-050
Remove or redesign persistent Low Performers,Menu Item,ITEM-005,Wild Alaskan Salmon Tartare,Remove or Redesign Persistent Low Performer: ITEM-005 (Wild Alaskan Salmon Tartare),"['Severe slow-moving status: SMI score of 0.883 (Critical Slow-Moving Tier)', 'Depressed order volume: only 2,433 orders placed across entire network', 'Excessive food wastage: 72.2% wastage rate ($105,995.50 spoiled)', 'Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 36.9% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-005 (Wild Alaskan Salmon Tartare)

Reason:
  * Severe slow-moving status: SMI score of 0.883 (Critical Slow-Moving Tier)
  * Depressed order volume: only 2,433 orders placed across entire network
  * Excessive food wastage: 72.2% wastage rate ($105,995.50 spoiled)
  * Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 36.9% (Q4 vs Q1)",117159.1,"Eliminating menu deadweight recovers $117,159.10 in waste and misallocated prep labor.",Critical,Medium,REC-038
Target selected customer segments,Customer Segment,SEG-REGULAR-CAT-FATIGUE,Regular Customers with Menu Fatigue,Target Regular Diners Showing Reduced Category Diversity with Category Sampler Incentives,"['Large cohort size: 1,106 regular customers experiencing menu fatigue', 'Substantial baseline value: $764,544.84 in cumulative 2025 restaurant spend', 'Identified churn precursor: active category breadth narrowed significantly between H1 and H2', 'Early warning indicator: customers currently in Medium Churn Risk buffer before complete lapse', 'Actionable intervention: 30% discount on unsampled menu categories to re-ignite dining variety']","Recommended Action:
  Target Regular Diners Showing Reduced Category Diversity with Category Sampler Incentives

Reason:
  * Large cohort size: 1,106 regular customers experiencing menu fatigue
  * Substantial baseline value: $764,544.84 in cumulative 2025 restaurant spend
  * Identified churn precursor: active category breadth narrowed significantly between H1 and H2
  * Early warning indicator: customers currently in Medium Churn Risk buffer before complete lapse
  * Actionable intervention: 30% discount on unsampled menu categories to re-ignite dining variety",114681.73,"Reversing menu fatigue retains $114,681.73 in repeat dining frequency.",Critical,Low,REC-047
Investigate anomalous locations,Location,LOC-005,DineIQ West Loop Bistro (Chicago),"Investigate Operational & Quality Anomalies at Location LOC-005 (DineIQ West Loop Bistro, Chicago)","['Severe customer dissatisfaction: CSAT of only 64.7% (697 1-star reviews, 3.64 avg rating)', 'Excessive food wastage: $168,167.10 annual waste loss (20.7% waste rate)', 'Operating margin lag: contribution margin of 56.1% trails network high performers', 'High commercial exposure: $1,116,724.13 in location revenue subject to customer churn', 'Actionable audit protocol: conduct kitchen prep consistency review and staff service training']","Recommended Action:
  Investigate Operational & Quality Anomalies at Location LOC-005 (DineIQ West Loop Bistro, Chicago)

Reason:
  * Severe customer dissatisfaction: CSAT of only 64.7% (697 1-star reviews, 3.64 avg rating)
  * Excessive food wastage: $168,167.10 annual waste loss (20.7% waste rate)
  * Operating margin lag: contribution margin of 56.1% trails network high performers
  * High commercial exposure: $1,116,724.13 in location revenue subject to customer churn
  * Actionable audit protocol: conduct kitchen prep consistency review and staff service training",111935.81,"Operational turnaround captures $111,935.81 through reduced spoilage and restored customer retention.",Critical,High,REC-057
