item_id,item_name,category_id,category_name,base_price,cost_price,is_seasonal,is_active,quantity_sold,revenue,cost,contribution_margin,profit_percentage,customer_rating,repeat_purchase_rate,wastage_percentage,total_wastage_cost,promotion_dependency,sales_trend,weekend_order_ratio,location_sales_cv,demand_score,profit_score,quality_health_score,menu_classification,tricky_performance_cases
ITEM-007,Crispy Calamari Fritti,CAT-01,Appetizers & Small Plates,16.5,7.5,False,True,10374,165880.26,77805.0,88075.26,53.1,3.67,0.0648,8.49,7222.5,0.3401,0.0,0.3505,0.26,0.476,0.591,0.799,Volume Driver,Standard Performance Profile
ITEM-011,Spicy Tuna Crispy Rice,CAT-01,Appetizers & Small Plates,21.56,9.8,False,True,7852,141336.0,76949.6,64386.4,45.56,3.76,0.0572,53.05,86945.6,0.336,0.0,0.3534,0.257,0.372,0.491,0.61,Low Performer,Standard Performance Profile
ITEM-020,Spicy Nashville Hot Chicken Bun,CAT-02,Artisanal Burgers & Handhelds,15.5,7.5,False,True,12924,200322.0,96930.0,103392.0,51.61,3.58,0.0789,4.18,4230.0,0.3363,0.0,0.3615,0.245,0.598,0.626,0.736,Volume Driver,Weekend-Only Performer
ITEM-049,Colorado Rosemary Lamb Chops,CAT-04,Prime Steaks & Butcher Cuts,44.0,19.5,False,True,4163,183172.0,81178.5,101993.5,55.68,3.64,0.0264,20.23,20592.0,0.3264,0.0,0.357,0.286,0.169,0.641,0.696,Low Performer,Dish Performing Differently Across Locations
ITEM-051,A5 Miyazaki Japanese Wagyu (4oz),CAT-04,Prime Steaks & Butcher Cuts,95.0,32.0,False,True,667,63365.0,21344.0,42021.0,66.32,3.65,0.0092,56.58,27808.0,0.3457,0.0,0.2823,0.296,0.008,0.522,0.478,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations; New Item with Insufficient History
ITEM-059,Bistro Hanger Steak Shallot Jus,CAT-04,Prime Steaks & Butcher Cuts,28.0,13.5,False,True,6586,184408.0,88911.0,95497.0,51.79,3.64,0.0455,8.07,7803.0,0.3407,0.0,0.3589,0.25,0.299,0.605,0.772,Low Performer,Standard Performance Profile
ITEM-062,Crispy Skin Mediterranean Branzino,CAT-05,Chef Specials & Seafood,38.0,16.0,False,True,3489,132582.0,55824.0,76758.0,57.89,3.73,0.0214,71.21,138096.0,0.3445,0.0,0.3503,0.282,0.134,0.581,0.467,Low Performer,Dish Performing Differently Across Locations
ITEM-073,Pacific Black Cod Miso Glaze,CAT-05,Chef Specials & Seafood,44.0,18.0,False,True,2635,115940.0,47430.0,68510.0,59.09,3.74,0.0147,33.29,23670.0,0.358,0.0,0.3861,0.316,0.088,0.563,0.714,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations; Weekend-Only Performer
ITEM-079,Strawberry Gorgonzola Pecan Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,14.0,5.0,False,True,8360,117040.0,41800.0,75240.0,64.29,3.69,0.0514,11.39,5375.0,0.3417,0.0,0.3541,0.265,0.374,0.605,0.801,Profit Driver,Popular Dish with Excessive Wastage
ITEM-092,Truffle Wild Mushroom Risotto,CAT-07,Vegan & Plant-Based Creations,23.0,7.2,False,True,7698,177054.0,55425.6,121628.4,68.7,3.56,0.0478,9.35,5716.8,0.3354,0.0,0.3603,0.266,0.343,0.753,0.684,Hidden Opportunity,Weekend-Only Performer
